epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3498,2.23788,2.36216,1.89333,0.34338,0.1868,0.09279,0.03087,2.78685,7.21019,2.90847,0.0702069,0.00331034,0.00331034
2,53.7225,2.1719,2.05849,1.85977,0.10367,0.07589,0.04189,0.01007,3.12052,15.5761,3.08181,0.040187,0.00662375,0.00662375
3,69.8298,2.07928,2.01007,1.80559,0.22653,0.21311,0.13045,0.04332,3.02787,3.58135,2.74434,0.010147,0.00991715,0.00991715
4,85.7161,2.02148,1.87359,1.73406,0.58797,0.40707,0.39489,0.13894,2.27924,6.24794,1.89339,0.00991,0.00991,0.00991
5,100.816,1.98602,1.82916,1.70948,0.5635,0.44619,0.44711,0.17178,2.14708,1.87882,1.83181,0.00988,0.00988,0.00988
6,116.044,1.93052,1.7244,1.6695,0.42638,0.55249,0.41711,0.17142,1.95712,5.6868,1.6123,0.00985,0.00985,0.00985
7,131.453,1.83685,1.70151,1.61173,0.6308,0.49504,0.50146,0.21832,2.01077,2.23324,1.67854,0.00982,0.00982,0.00982
8,146.819,1.83489,1.63626,1.58978,0.70675,0.61329,0.61332,0.27436,1.93253,1.68857,1.59365,0.00979,0.00979,0.00979
9,162.28,1.80843,1.60852,1.58558,0.69555,0.6492,0.61632,0.28102,1.90437,1.7133,1.56632,0.00976,0.00976,0.00976
10,177.84,1.77934,1.56656,1.55086,0.68016,0.6747,0.62739,0.30367,1.6529,1.70234,1.40837,0.00973,0.00973,0.00973
11,193.488,1.74854,1.53596,1.51591,0.75755,0.6754,0.6419,0.35539,1.72064,2.9592,1.433,0.0097,0.0097,0.0097
12,209.239,1.70634,1.52763,1.50167,0.7582,0.69267,0.68234,0.32696,1.83821,1.63189,1.50652,0.00967,0.00967,0.00967
13,224.93,1.72292,1.50375,1.49681,0.7993,0.67837,0.7162,0.34657,1.85628,1.27107,1.47781,0.00964,0.00964,0.00964
14,240.806,1.69429,1.46709,1.47142,0.76743,0.68419,0.71743,0.41379,1.6571,1.36034,1.38501,0.00961,0.00961,0.00961
15,256.669,1.65757,1.47861,1.47592,0.89265,0.65307,0.7624,0.40787,1.56794,1.2665,1.34169,0.00958,0.00958,0.00958
16,272.577,1.65461,1.44606,1.4598,0.72234,0.71199,0.73623,0.39924,1.6157,1.39807,1.3767,0.00955,0.00955,0.00955
17,288.578,1.63104,1.43708,1.45351,0.78287,0.67618,0.69432,0.38469,1.63644,1.48128,1.42369,0.00952,0.00952,0.00952
