epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8927,3.49028,3.14417,3.36676,0.53493,0.0625,0.01604,0.00364,3.27719,3.53514,3.23623,0.0702069,0.00331034,0.00331034
2,66.411,2.8534,2.67901,2.86777,0.6605,0.21317,0.12513,0.03334,2.84533,2.84011,2.80384,0.040187,0.00662375,0.00662375
3,85.6866,2.62317,2.52897,2.71097,0.60008,0.0692,0.04196,0.0164,2.9005,4.20785,2.80777,0.010147,0.00991715,0.00991715
4,104.911,2.45955,2.33995,2.56859,0.6718,0.20982,0.14932,0.05392,2.46005,2.59843,2.46034,0.00991,0.00991,0.00991
5,124.201,2.34793,2.23721,2.43545,0.67213,0.15402,0.11352,0.04694,2.65247,2.61768,2.58941,0.00988,0.00988,0.00988
6,143.711,2.26521,2.1366,2.38739,0.75896,0.29738,0.24129,0.08131,2.33002,2.40663,2.29506,0.00985,0.00985,0.00985
7,163.377,2.16865,2.04113,2.31522,0.63266,0.17411,0.11105,0.04319,2.22995,2.58451,2.3498,0.00982,0.00982,0.00982
8,183.261,2.09992,1.99228,2.2441,0.74591,0.25,0.21807,0.08829,2.13044,3.76258,2.25824,0.00979,0.00979,0.00979
9,203.277,2.03957,1.94931,2.20236,0.76185,0.22991,0.22497,0.09353,2.11706,2.79348,2.32402,0.00976,0.00976,0.00976
10,223.723,2.01062,1.88632,2.13268,0.80795,0.30804,0.28684,0.12109,2.06696,1.70005,2.07239,0.00973,0.00973,0.00973
11,244.008,1.99181,1.88387,2.10589,0.84665,0.33036,0.32173,0.14305,1.95275,1.65285,2.07706,0.0097,0.0097,0.0097
12,264.064,1.95792,1.83313,2.10009,0.87044,0.34152,0.32837,0.14157,1.93371,1.70278,2.05869,0.00967,0.00967,0.00967
13,284.388,1.95755,1.80206,2.06152,0.84161,0.30804,0.31916,0.12818,1.95275,1.5738,2.04726,0.00964,0.00964,0.00964
14,305.501,1.9032,1.79345,2.03097,0.84105,0.31696,0.31459,0.12226,1.97514,1.67319,2.01492,0.00961,0.00961,0.00961
15,326.917,1.90541,1.8083,2.04143,0.77536,0.29277,0.29119,0.13319,1.96976,1.8955,2.03298,0.00958,0.00958,0.00958
16,348.179,1.90059,1.7508,2.01424,0.49476,0.38906,0.37624,0.14468,2.0326,1.65294,1.99413,0.00955,0.00955,0.00955
17,370.257,1.85185,1.71026,1.98065,0.62925,0.49742,0.49275,0.19992,1.80914,1.64191,1.90269,0.00952,0.00952,0.00952
18,391.28,1.80586,1.65632,1.93638,0.55175,0.48214,0.47776,0.22294,1.73587,1.44429,1.84756,0.00949,0.00949,0.00949
19,412.19,1.80013,1.63233,1.94304,0.64604,0.56567,0.55681,0.22406,1.76943,1.41658,1.8815,0.00946,0.00946,0.00946
20,434.348,1.78896,1.62171,1.91693,0.72136,0.51963,0.58966,0.27361,1.65948,1.32657,1.7355,0.00943,0.00943,0.00943
21,456.556,1.76048,1.59273,1.87902,0.64581,0.57648,0.57888,0.2753,1.62486,1.5162,1.6938,0.0094,0.0094,0.0094
22,478.838,1.74756,1.58376,1.87528,0.59537,0.49391,0.47275,0.19651,1.8337,1.71929,1.91619,0.00937,0.00937,0.00937
23,501.107,1.73952,1.58006,1.85079,0.78973,0.55696,0.67131,0.28326,1.71659,1.30938,1.77202,0.00934,0.00934,0.00934
24,523.127,1.72968,1.58399,1.82299,0.86653,0.60356,0.69762,0.32485,1.59124,1.56108,1.68384,0.00931,0.00931,0.00931
25,544.36,1.69715,1.5651,1.81185,0.77244,0.60135,0.64395,0.27744,1.68282,1.37522,1.71029,0.00928,0.00928,0.00928
26,566.394,1.6729,1.55726,1.77361,0.82981,0.60021,0.67265,0.26606,1.81689,1.42754,1.80508,0.00925,0.00925,0.00925
27,588.211,1.68269,1.52124,1.80648,0.78197,0.65202,0.69525,0.34721,1.58644,1.29023,1.65994,0.00922,0.00922,0.00922
28,609.759,1.66026,1.46664,1.80004,0.76623,0.7031,0.69513,0.3457,1.56723,1.49503,1.64703,0.00919,0.00919,0.00919
29,631.337,1.67297,1.49462,1.79118,0.76066,0.67751,0.72173,0.38251,1.52217,1.25333,1.59917,0.00916,0.00916,0.00916
30,653.735,1.63137,1.48715,1.7447,0.68415,0.62735,0.65307,0.28528,1.55673,1.26615,1.64914,0.00913,0.00913,0.00913
31,675.413,1.62236,1.46685,1.76794,0.61852,0.63076,0.60913,0.28338,1.55193,2.35279,1.63244,0.0091,0.0091,0.0091
32,696.971,1.62051,1.45307,1.72767,0.75769,0.69707,0.73763,0.39035,1.54869,1.27627,1.58641,0.00907,0.00907,0.00907
33,718.597,1.6216,1.45821,1.74509,0.83442,0.68688,0.7399,0.35754,1.61861,1.23202,1.68516,0.00904,0.00904,0.00904
34,739.985,1.61428,1.44159,1.70144,0.79951,0.69067,0.73748,0.31073,1.84693,1.26478,1.76585,0.00901,0.00901,0.00901
35,760.981,1.58047,1.42062,1.69931,0.6956,0.69784,0.684,0.38606,1.49862,1.40734,1.53243,0.00898,0.00898,0.00898
36,783.099,1.5985,1.40667,1.69561,0.75226,0.70359,0.70356,0.33833,1.59921,1.34879,1.56605,0.00895,0.00895,0.00895
37,804.971,1.57584,1.38136,1.68608,0.8118,0.70001,0.76563,0.45095,1.41459,1.22185,1.47582,0.00892,0.00892,0.00892
38,827.394,1.5686,1.40952,1.68916,0.7856,0.7543,0.78224,0.38825,1.57744,1.18251,1.51837,0.00889,0.00889,0.00889
39,849.626,1.56756,1.38525,1.67564,0.7643,0.73238,0.7827,0.44774,1.39957,1.10258,1.50869,0.00886,0.00886,0.00886
40,871.89,1.55561,1.36224,1.65058,0.78273,0.71252,0.69851,0.38006,1.49626,1.4343,1.54388,0.00883,0.00883,0.00883
41,894.318,1.56119,1.37524,1.66417,0.80415,0.65484,0.72273,0.3268,1.67459,1.16072,1.62453,0.0088,0.0088,0.0088
