epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1355,1.86778,1.86916,1.53181,0.52019,0.63088,0.46742,0.17947,1.80389,2.05729,1.41709,0.0404332,0.000398616,0.000398616
2,62.3457,1.76095,1.45122,1.44961,0.70693,0.73508,0.72156,0.33167,1.66879,1.37342,1.3827,0.0308331,0.000798533,0.000798533
3,83.3266,1.72419,1.4099,1.44109,0.66743,0.72972,0.77116,0.3711,1.66504,1.24964,1.32746,0.0212327,0.00119812,0.00119812
4,104.358,1.68879,1.35659,1.42026,0.70989,0.76512,0.74794,0.38564,1.59913,1.20298,1.28011,0.0116317,0.00159712,0.00159712
5,125.532,1.65284,1.295,1.38148,0.76771,0.8011,0.80583,0.42458,1.51392,1.16132,1.23797,0.00202989,0.00199529,0.00199529
6,146.979,1.61568,1.23364,1.35998,0.82168,0.75705,0.81329,0.4283,1.66317,1.06352,1.24958,0.0019948,0.0019948,0.0019948
7,168.485,1.59333,1.22341,1.35452,0.87498,0.81156,0.85692,0.48933,1.45253,1.11094,1.18887,0.00199251,0.00199251,0.00199251
8,190.264,1.55177,1.21472,1.32733,0.89896,0.81881,0.87989,0.46313,1.58548,0.99037,1.20684,0.00198981,0.00198981,0.00198981
9,212.317,1.52923,1.16065,1.31037,0.88005,0.80322,0.88337,0.4967,1.40379,0.93875,1.14472,0.0019867,0.0019867,0.0019867
10,234.387,1.51163,1.15185,1.29315,0.89051,0.84324,0.89264,0.5232,1.30535,0.9068,1.12607,0.00198317,0.00198317,0.00198317
11,256.56,1.4779,1.11827,1.26642,0.85595,0.86145,0.87261,0.43563,1.63934,0.94453,1.22385,0.00197924,0.00197924,0.00197924
12,278.874,1.46415,1.11819,1.28274,0.90614,0.85444,0.90042,0.56334,1.28268,0.88979,1.0948,0.0019749,0.0019749,0.0019749
13,301.104,1.43878,1.05798,1.25885,0.93594,0.84551,0.91352,0.55766,1.26719,0.80493,1.07181,0.00197015,0.00197015,0.00197015
14,323.422,1.45063,1.0573,1.2556,0.89258,0.86772,0.91162,0.58486,1.2157,0.73682,1.0738,0.001965,0.001965,0.001965
15,345.862,1.42419,1.05568,1.26057,0.89603,0.85663,0.89009,0.53388,1.22113,0.87005,1.07949,0.00195945,0.00195945,0.00195945
16,368.376,1.41308,1.05247,1.24352,0.9285,0.85708,0.91977,0.58455,1.17551,0.79387,1.05947,0.0019535,0.0019535,0.0019535
17,391.068,1.39156,1.04912,1.24198,0.91596,0.85725,0.91446,0.60544,1.1445,0.78245,1.04571,0.00194716,0.00194716,0.00194716
18,414.212,1.37038,1.00661,1.2192,0.92333,0.87521,0.90719,0.58827,1.15507,0.77919,1.05374,0.00194042,0.00194042,0.00194042
19,437.358,1.38914,0.99368,1.23265,0.88715,0.85996,0.90817,0.5914,1.14222,0.73279,1.02975,0.00193329,0.00193329,0.00193329
20,460.412,1.37659,0.99544,1.20439,0.89954,0.86964,0.91571,0.60026,1.1055,0.76285,1.03535,0.00192577,0.00192577,0.00192577
21,483.428,1.35922,0.99052,1.20915,0.93584,0.84705,0.90787,0.61989,1.04623,0.70451,1.01477,0.00191787,0.00191787,0.00191787
22,506.584,1.37401,0.97484,1.2151,0.90758,0.89011,0.92255,0.58796,1.21828,0.75083,1.03564,0.00190959,0.00190959,0.00190959
23,529.624,1.34663,0.98452,1.21138,0.91564,0.88932,0.92921,0.63076,1.077,0.68932,1.01482,0.00190093,0.00190093,0.00190093
24,553.05,1.3153,0.99089,1.20408,0.89511,0.89373,0.93651,0.62563,1.06123,0.66661,1.00019,0.00189189,0.00189189,0.00189189
25,576.386,1.34488,0.94791,1.2039,0.94242,0.87647,0.91695,0.62587,1.00087,0.69093,0.9839,0.00188249,0.00188249,0.00188249
