epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.1999,1.12568,1.63996,1.31071,0.87966,0.89168,0.90988,0.57553,1.26072,1.57296,1.21034,0.00900346,0.00099654,0.00099654
2,81.4067,1.12855,1.64583,1.29289,0.87504,0.90571,0.91193,0.60636,1.13088,1.5557,1.14852,0.00800299,0.00199607,0.00199607
3,106.518,1.16266,1.72463,1.31969,0.89615,0.86929,0.88866,0.52165,1.34327,1.75494,1.27533,0.00700065,0.00299373,0.00299373
4,132.428,1.14073,1.67918,1.30661,0.88025,0.8576,0.90109,0.57488,1.16978,1.72021,1.19353,0.00599504,0.00398811,0.00398811
5,159.504,1.16226,1.70877,1.31401,0.90031,0.89771,0.92917,0.60406,1.1492,1.52822,1.15658,0.00498475,0.00497783,0.00497783
6,187.296,1.17516,1.74441,1.33898,0.8867,0.89546,0.91631,0.58579,1.17927,1.5386,1.18857,0.00497076,0.00497076,0.00497076
7,215.092,1.16534,1.72519,1.32182,0.899,0.86371,0.91575,0.5715,1.21622,1.6518,1.20756,0.00495793,0.00495793,0.00495793
8,241.952,1.17944,1.76302,1.34616,0.88682,0.85409,0.89987,0.55263,1.33238,1.68031,1.27145,0.0049428,0.0049428,0.0049428
9,268.874,1.16084,1.72109,1.33963,0.88875,0.88573,0.92073,0.59527,1.25447,1.47459,1.21143,0.00492539,0.00492539,0.00492539
10,296.03,1.19675,1.71428,1.34123,0.84559,0.83177,0.85035,0.4836,1.44722,2.07883,1.38944,0.0049057,0.0049057,0.0049057
11,323.218,1.20793,1.74052,1.34633,0.91538,0.89168,0.90261,0.56674,1.23752,1.66373,1.23043,0.00488376,0.00488376,0.00488376
12,350.554,1.18218,1.75728,1.33992,0.90201,0.86447,0.90801,0.57252,1.25858,1.62383,1.23957,0.00485959,0.00485959,0.00485959
13,377.797,1.16916,1.68032,1.33519,0.88489,0.84739,0.89303,0.56827,1.28991,1.61811,1.2925,0.00483322,0.00483322,0.00483322
14,405.118,1.20196,1.7542,1.35055,0.88423,0.86111,0.92028,0.56484,1.35379,1.65388,1.28711,0.00480467,0.00480467,0.00480467
15,432.561,1.20321,1.75806,1.35835,0.88664,0.86293,0.90622,0.57926,1.23359,1.72485,1.21148,0.00477396,0.00477396,0.00477396
16,459.975,1.18994,1.71563,1.34096,0.88437,0.86274,0.91018,0.5785,1.3359,1.52627,1.31171,0.00474114,0.00474114,0.00474114
17,487.4,1.18404,1.76861,1.35138,0.91794,0.85409,0.93083,0.62261,1.19911,1.40258,1.23495,0.00470623,0.00470623,0.00470623
18,515.048,1.17512,1.75094,1.3325,0.87959,0.87171,0.90541,0.56546,1.29131,1.69005,1.27109,0.00466926,0.00466926,0.00466926
19,542.628,1.17086,1.7082,1.34678,0.87545,0.86223,0.89416,0.58125,1.29693,1.7427,1.2615,0.00463028,0.00463028,0.00463028
20,570.103,1.16026,1.69262,1.34083,0.87333,0.87081,0.91118,0.60217,1.23236,1.52889,1.19765,0.00458932,0.00458932,0.00458932
21,597.653,1.18003,1.73693,1.35218,0.86589,0.85855,0.88847,0.57686,1.26818,1.64763,1.25148,0.00454642,0.00454642,0.00454642
22,625.329,1.18948,1.72779,1.35023,0.87061,0.84771,0.89741,0.57306,1.30085,1.7466,1.25708,0.00450162,0.00450162,0.00450162
23,653.012,1.17608,1.71439,1.33366,0.86023,0.83177,0.88489,0.57827,1.27039,1.66959,1.23617,0.00445497,0.00445497,0.00445497
24,680.761,1.19315,1.76574,1.3385,0.88198,0.83443,0.89026,0.56859,1.25593,1.74124,1.22119,0.00440651,0.00440651,0.00440651
25,708.347,1.19199,1.72098,1.34642,0.88863,0.85731,0.90715,0.56875,1.25146,1.62525,1.2137,0.0043563,0.0043563,0.0043563
26,736.033,1.17768,1.69705,1.3255,0.88162,0.89592,0.91284,0.59477,1.20405,1.51363,1.18228,0.00430438,0.00430438,0.00430438
27,763.681,1.16335,1.7027,1.33608,0.87395,0.8574,0.91006,0.57236,1.30878,1.57778,1.25286,0.0042508,0.0042508,0.0042508
28,791.398,1.15959,1.69456,1.3351,0.87685,0.85702,0.90268,0.57936,1.30798,1.60172,1.26197,0.00419562,0.00419562,0.00419562
29,819.039,1.15193,1.66967,1.33711,0.89775,0.86334,0.90304,0.59909,1.15442,1.56813,1.15209,0.00413888,0.00413888,0.00413888
30,846.769,1.18109,1.7058,1.33979,0.88723,0.85609,0.90049,0.57205,1.21601,1.73897,1.20028,0.00408065,0.00408065,0.00408065
31,874.633,1.16066,1.72592,1.34126,0.88753,0.83165,0.88707,0.56693,1.20335,1.71167,1.1927,0.00402099,0.00402099,0.00402099
32,902.282,1.16568,1.72623,1.34123,0.86154,0.8334,0.87997,0.5655,1.24504,1.79249,1.21185,0.00395995,0.00395995,0.00395995
33,930.099,1.18478,1.75524,1.3511,0.86822,0.83388,0.87923,0.55571,1.31785,1.81286,1.28048,0.00389759,0.00389759,0.00389759
34,957.845,1.17525,1.67823,1.31891,0.90421,0.8696,0.91833,0.59263,1.20641,1.60473,1.17477,0.00383397,0.00383397,0.00383397
35,985.616,1.15404,1.70441,1.32459,0.8846,0.84504,0.90213,0.57362,1.30198,1.70869,1.23434,0.00376916,0.00376916,0.00376916
36,1013.45,1.16863,1.6787,1.31789,0.88883,0.87183,0.90784,0.58617,1.21293,1.54402,1.18103,0.00370323,0.00370323,0.00370323
37,1041.16,1.14485,1.61784,1.32019,0.88278,0.8724,0.90042,0.55717,1.2748,1.63864,1.2378,0.00363623,0.00363623,0.00363623
38,1068.88,1.15206,1.64879,1.32262,0.88669,0.90073,0.92283,0.61664,1.17028,1.47282,1.14793,0.00356823,0.00356823,0.00356823
39,1096.66,1.13742,1.66619,1.31934,0.88189,0.85592,0.89086,0.56417,1.24301,1.63584,1.21478,0.0034993,0.0034993,0.0034993
40,1124.24,1.15337,1.63947,1.29742,0.85702,0.8402,0.88734,0.50787,1.46446,1.85184,1.38065,0.0034295,0.0034295,0.0034295
41,1151.91,1.14874,1.65949,1.3212,0.88039,0.8562,0.90408,0.56217,1.30062,1.64217,1.25005,0.00335892,0.00335892,0.00335892
42,1179.78,1.15419,1.65319,1.33044,0.8773,0.85609,0.90076,0.5501,1.34382,1.65561,1.30138,0.0032876,0.0032876,0.0032876
43,1207.45,1.14727,1.64147,1.29862,0.90553,0.87254,0.92922,0.60389,1.21764,1.45844,1.18876,0.00321564,0.00321564,0.00321564
44,1235.16,1.14375,1.6708,1.30598,0.90143,0.86513,0.9094,0.57886,1.24078,1.61221,1.192,0.00314309,0.00314309,0.00314309
45,1262.9,1.13149,1.61091,1.29819,0.89341,0.87678,0.91644,0.59021,1.22157,1.53523,1.19744,0.00307003,0.00307003,0.00307003
