epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4795,1.10441,0.80661,1.29656,0.90786,0.88734,0.92767,0.60931,1.15704,0.71926,1.14456,0.00701038,0.00033218,0.00033218
2,49.3951,1.08847,0.79105,1.2659,0.89428,0.88844,0.92309,0.61366,1.13189,0.7301,1.13321,0.00400946,0.00066459,0.00066459
3,64.2764,1.10686,0.81089,1.28798,0.89096,0.89241,0.92225,0.60352,1.16773,0.7267,1.15163,0.00100485,0.000993313,0.000993313
4,78.9994,1.08989,0.79354,1.27306,0.90285,0.87843,0.92461,0.60988,1.13825,0.72257,1.14058,0.000987566,0.000987566,0.000987566
5,93.7953,1.10922,0.79906,1.28036,0.89563,0.90028,0.92882,0.61586,1.12404,0.71582,1.1303,0.000977975,0.000977975,0.000977975
6,108.546,1.10971,0.81634,1.29563,0.88921,0.88795,0.92213,0.59528,1.14729,0.73194,1.14201,0.000965746,0.000965746,0.000965746
7,123.311,1.09594,0.80396,1.27658,0.88993,0.89212,0.92267,0.62493,1.12118,0.72556,1.13323,0.000950953,0.000950953,0.000950953
8,139.254,1.09767,0.81509,1.29216,0.88814,0.89781,0.92672,0.62065,1.13802,0.72116,1.14037,0.000933688,0.000933688,0.000933688
9,155.329,1.08678,0.80111,1.28776,0.91019,0.88463,0.92871,0.62088,1.14529,0.71922,1.14137,0.000914058,0.000914058,0.000914058
10,171.341,1.11244,0.80167,1.28982,0.90721,0.89403,0.9337,0.61814,1.16023,0.71338,1.14652,0.000892183,0.000892183,0.000892183
11,187.747,1.10738,0.79543,1.28866,0.88666,0.91023,0.92202,0.61777,1.14562,0.7401,1.13723,0.000868198,0.000868198,0.000868198
12,204.141,1.10832,0.81043,1.29343,0.88589,0.91389,0.92441,0.61187,1.14581,0.72515,1.1348,0.000842252,0.000842252,0.000842252
13,220.533,1.09445,0.77578,1.28739,0.88347,0.8985,0.91879,0.61672,1.16661,0.72991,1.15776,0.000814503,0.000814503,0.000814503
14,237.09,1.10853,0.81461,1.29776,0.89148,0.90856,0.91969,0.60939,1.16527,0.73205,1.15203,0.000785124,0.000785124,0.000785124
15,253.646,1.11408,0.81657,1.30385,0.88522,0.91112,0.92173,0.61276,1.15589,0.72896,1.14661,0.000754296,0.000754296,0.000754296
16,270.254,1.09497,0.7962,1.28632,0.89493,0.91389,0.92439,0.60326,1.17138,0.71641,1.15245,0.000722208,0.000722208,0.000722208
17,286.901,1.09883,0.81118,1.29528,0.89323,0.8918,0.92145,0.60573,1.15542,0.73846,1.14561,0.000689058,0.000689058,0.000689058
18,303.578,1.0778,0.79779,1.27106,0.88304,0.90858,0.92254,0.6051,1.1596,0.72555,1.14652,0.00065505,0.00065505,0.00065505
19,320.316,1.09804,0.79023,1.29862,0.89267,0.90612,0.92214,0.61417,1.14527,0.7172,1.13877,0.000620396,0.000620396,0.000620396
20,337.112,1.0744,0.77904,1.27833,0.89933,0.90123,0.92334,0.6065,1.1839,0.7378,1.1614,0.000585307,0.000585307,0.000585307
21,353.922,1.09419,0.80788,1.29548,0.88923,0.90284,0.92498,0.61512,1.15493,0.73315,1.14771,0.00055,0.00055,0.00055
22,370.626,1.10401,0.79546,1.29269,0.90577,0.87467,0.92455,0.6187,1.14564,0.73023,1.13989,0.000514693,0.000514693,0.000514693
23,387.563,1.09935,0.79587,1.28698,0.89586,0.89403,0.92129,0.61166,1.15331,0.7425,1.14328,0.000479604,0.000479604,0.000479604
24,404.445,1.11523,0.82143,1.28744,0.89206,0.89403,0.9252,0.60902,1.15566,0.73362,1.14564,0.00044495,0.00044495,0.00044495
25,421.383,1.10718,0.80578,1.29188,0.88594,0.90296,0.92584,0.61477,1.15211,0.72636,1.13986,0.000410942,0.000410942,0.000410942
26,438.541,1.10633,0.79797,1.27885,0.8904,0.91177,0.92932,0.62047,1.14189,0.71451,1.1331,0.000377792,0.000377792,0.000377792
27,455.436,1.08495,0.79657,1.2855,0.89213,0.90954,0.92576,0.61074,1.15893,0.72327,1.14377,0.000345704,0.000345704,0.000345704
28,472.399,1.07819,0.79175,1.28036,0.89448,0.90837,0.92768,0.61217,1.15148,0.71739,1.14006,0.000314876,0.000314876,0.000314876
29,488.083,1.07152,0.78744,1.28648,0.89187,0.90284,0.92423,0.61706,1.13783,0.72632,1.13589,0.000285497,0.000285497,0.000285497
30,503.623,1.10307,0.80917,1.2909,0.89026,0.90731,0.92425,0.60532,1.14699,0.72871,1.13691,0.000257748,0.000257748,0.000257748
31,519.802,1.14482,0.72086,1.14606,0.90096,0.88687,0.92639,0.60736,1.14291,0.7273,1.12898,0.000231802,0.000231802,0.000231802
32,535.239,1.18521,0.70537,1.16532,0.90473,0.89164,0.93119,0.60811,1.14465,0.70738,1.13275,0.000207817,0.000207817,0.000207817
