epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9523,1.09844,0.80765,1.29756,0.88356,0.89598,0.91988,0.60527,1.17692,0.73811,1.16283,0.00404332,3.98616e-05,3.98616e-05
2,67.0333,1.08687,0.78979,1.27048,0.88997,0.88522,0.92242,0.60508,1.1855,0.75194,1.16278,0.00308329,7.98323e-05,7.98323e-05
3,94.0611,1.10257,0.81308,1.2876,0.87511,0.89613,0.91925,0.6069,1.18238,0.75112,1.16335,0.00212315,0.000119686,0.000119686
4,121.248,1.08331,0.79197,1.27092,0.9013,0.87405,0.92065,0.61203,1.15762,0.72847,1.15083,0.0011628,0.000159335,0.000159335
5,149.837,1.10074,0.80223,1.2773,0.91217,0.87355,0.92338,0.61455,1.14061,0.73603,1.13685,0.000202153,0.000198693,0.000198693
6,178.877,1.10427,0.81784,1.29667,0.89975,0.87646,0.9199,0.60846,1.16717,0.73901,1.15511,0.000198175,0.000198175,0.000198175
7,208.211,1.09984,0.80109,1.28132,0.9075,0.87352,0.91936,0.60471,1.17707,0.75082,1.16619,0.000197375,0.000197375,0.000197375
8,237.602,1.10344,0.81517,1.29417,0.89306,0.8894,0.92031,0.61514,1.15805,0.73136,1.15183,0.000196433,0.000196433,0.000196433
9,267.045,1.09231,0.80617,1.29361,0.88464,0.88507,0.92281,0.60697,1.15641,0.73178,1.15144,0.00019535,0.00019535,0.00019535
10,296.462,1.119,0.80815,1.29654,0.88674,0.90233,0.92502,0.60588,1.18858,0.73779,1.16562,0.000194128,0.000194128,0.000194128
11,325.983,1.1193,0.80518,1.29548,0.8995,0.88664,0.92325,0.60568,1.16724,0.74986,1.15407,0.000192769,0.000192769,0.000192769
12,355.754,1.11463,0.82447,1.30218,0.9014,0.88686,0.92571,0.6119,1.16079,0.73895,1.14879,0.000191274,0.000191274,0.000191274
13,384.665,1.10525,0.7855,1.29278,0.89255,0.89232,0.92235,0.60739,1.17193,0.74295,1.1647,0.000189646,0.000189646,0.000189646
14,414.256,1.11175,0.81662,1.3016,0.88409,0.90284,0.92256,0.60568,1.19275,0.73669,1.17325,0.000187887,0.000187887,0.000187887
15,443.556,1.11837,0.82579,1.30658,0.90712,0.86736,0.92073,0.60876,1.17057,0.73507,1.15627,0.000186001,0.000186001,0.000186001
16,471.034,1.10821,0.81092,1.29581,0.9111,0.8629,0.92208,0.61153,1.17347,0.73232,1.157,0.00018399,0.00018399,0.00018399
17,498.19,1.10941,0.82567,1.30011,0.89466,0.87019,0.91996,0.59881,1.18537,0.75763,1.16771,0.000181857,0.000181857,0.000181857
18,525.169,1.08643,0.80657,1.27766,0.92363,0.86067,0.92451,0.61217,1.14839,0.7232,1.14399,0.000179605,0.000179605,0.000179605
19,552.05,1.10451,0.80045,1.29905,0.92304,0.86736,0.92659,0.61861,1.14692,0.71641,1.14526,0.000177239,0.000177239,0.000177239
20,579.111,1.087,0.79136,1.28769,0.90127,0.87763,0.92258,0.60075,1.1883,0.75258,1.17061,0.000174761,0.000174761,0.000174761
21,606.035,1.10422,0.81921,1.30451,0.88965,0.89012,0.92242,0.60899,1.16981,0.74928,1.16324,0.000172175,0.000172175,0.000172175
22,632.96,1.11519,0.80704,1.30235,0.89666,0.88714,0.92362,0.6081,1.159,0.73575,1.15226,0.000169486,0.000169486,0.000169486
23,659.832,1.10841,0.80003,1.29402,0.89795,0.87406,0.91995,0.60281,1.17955,0.7521,1.16098,0.000166698,0.000166698,0.000166698
24,686.72,1.12096,0.82882,1.2968,0.90768,0.87183,0.91952,0.60812,1.16428,0.73739,1.1539,0.000163814,0.000163814,0.000163814
25,713.543,1.11461,0.81236,1.29995,0.90872,0.87183,0.92225,0.60788,1.16414,0.73667,1.15386,0.00016084,0.00016084,0.00016084
26,740.565,1.11209,0.80662,1.28274,0.8833,0.8919,0.92064,0.60978,1.16528,0.73952,1.15288,0.000157779,0.000157779,0.000157779
27,767.36,1.09251,0.80349,1.28992,0.89125,0.89354,0.92338,0.60372,1.17115,0.74242,1.15273,0.000154637,0.000154637,0.000154637
28,794.1,1.08644,0.80056,1.28645,0.90035,0.87043,0.92054,0.60473,1.17903,0.74841,1.1591,0.000151419,0.000151419,0.000151419
29,820.962,1.08399,0.79665,1.29607,0.88427,0.89771,0.9218,0.61197,1.16193,0.75208,1.15446,0.000148129,0.000148129,0.000148129
30,847.637,1.1102,0.81711,1.2971,0.88393,0.8918,0.92257,0.60403,1.17591,0.75554,1.15992,0.000144773,0.000144773,0.000144773
31,874.561,1.10428,0.81189,1.30267,0.89207,0.89344,0.9218,0.59795,1.19903,0.76225,1.17415,0.000141355,0.000141355,0.000141355
32,901.519,1.08773,0.79217,1.29112,0.884,0.89704,0.92409,0.61754,1.14482,0.74223,1.14296,0.000137881,0.000137881,0.000137881
33,928.306,1.1163,0.82972,1.31039,0.87505,0.90537,0.92513,0.61285,1.15932,0.73946,1.14952,0.000134357,0.000134357,0.000134357
34,955.201,1.10868,0.80568,1.27905,0.89351,0.89418,0.92483,0.61013,1.17273,0.73967,1.15741,0.000130787,0.000130787,0.000130787
35,984.418,1.09866,0.80796,1.28923,0.90432,0.89684,0.9285,0.61401,1.14541,0.71459,1.14313,0.000127177,0.000127177,0.000127177
36,1011.73,1.10301,0.80186,1.27664,0.90843,0.87629,0.92595,0.60452,1.17372,0.73322,1.15564,0.000123534,0.000123534,0.000123534
37,1038.68,1.08918,0.787,1.28662,0.90531,0.8696,0.92371,0.60701,1.17318,0.73946,1.15654,0.000119861,0.000119861,0.000119861
38,1065.76,1.10168,0.80485,1.28521,0.88349,0.89755,0.9245,0.6062,1.17007,0.73797,1.15471,0.000116166,0.000116166,0.000116166
39,1092.76,1.08463,0.80011,1.28432,0.89441,0.89197,0.92446,0.60901,1.16584,0.72771,1.15146,0.000112454,0.000112454,0.000112454
40,1119.55,1.10956,0.79794,1.27533,0.89662,0.89838,0.92141,0.60346,1.17392,0.74979,1.15732,0.00010873,0.00010873,0.00010873
41,1146.49,1.10515,0.80995,1.29788,0.9068,0.87406,0.92178,0.61305,1.15156,0.74217,1.14509,0.000105,0.000105,0.000105
42,1173.33,1.09552,0.80375,1.29588,0.88294,0.90341,0.92142,0.60775,1.16406,0.75195,1.15333,0.00010127,0.00010127,0.00010127
43,1200.23,1.09492,0.8065,1.26881,0.8881,0.90522,0.92176,0.6049,1.18915,0.75186,1.17008,9.75464e-05,9.75464e-05,9.75464e-05
44,1227.13,1.09275,0.80323,1.27628,0.89235,0.88409,0.92222,0.60247,1.17742,0.75122,1.16356,9.38339e-05,9.38339e-05,9.38339e-05
45,1254.12,1.08746,0.7784,1.27631,0.8958,0.88454,0.92364,0.604,1.17518,0.74869,1.15751,9.01387e-05,9.01387e-05,9.01387e-05
46,1280.91,1.10804,0.81003,1.2979,0.90099,0.87228,0.91897,0.60472,1.17072,0.74449,1.1569,8.64664e-05,8.64664e-05,8.64664e-05
47,1307.78,1.13143,0.83019,1.30392,0.90899,0.87406,0.92286,0.60934,1.16206,0.73527,1.15142,8.28227e-05,8.28227e-05,8.28227e-05
48,1334.62,1.11968,0.81277,1.28941,0.88122,0.89857,0.92133,0.60526,1.17096,0.75493,1.15867,7.92132e-05,7.92132e-05,7.92132e-05
49,1361.47,1.10821,0.81524,1.29162,0.88131,0.89805,0.92088,0.60864,1.16438,0.75722,1.15871,7.56434e-05,7.56434e-05,7.56434e-05
