epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.797,1.18192,0.76024,1.18211,0.90457,0.95873,0.94673,0.64851,1.10777,0.62426,1.01986,0.0005,0.0005,0.0005
2,335.494,1.15978,0.74661,1.16943,0.91541,0.92998,0.95659,0.6472,1.13327,0.6112,1.02995,0.000497538,0.000497538,0.000497538
3,386.621,1.1635,0.7238,1.1957,0.91086,0.91412,0.94336,0.64455,1.13005,0.61439,1.02984,0.000490211,0.000490211,0.000490211
4,439.572,1.15424,0.72288,1.17082,0.90699,0.93844,0.95694,0.65118,1.14459,0.61135,1.0371,0.000478201,0.000478201,0.000478201
5,489.903,1.16863,0.71599,1.17215,0.90676,0.94055,0.95152,0.65489,1.10908,0.60432,1.01603,0.000461803,0.000461803,0.000461803
6,547.457,1.16568,0.7078,1.17069,0.89747,0.91647,0.94449,0.64861,1.12735,0.61092,1.02589,0.000441421,0.000441421,0.000441421
7,594.55,1.15786,0.70899,1.14811,0.89916,0.93186,0.94877,0.65762,1.10014,0.58936,1.01194,0.000417557,0.000417557,0.000417557
8,652.876,1.20047,0.72511,1.18484,0.88854,0.93187,0.94652,0.64751,1.12304,0.62249,1.02346,0.000390798,0.000390798,0.000390798
9,709.488,1.15713,0.72111,1.17788,0.8919,0.93273,0.94789,0.65419,1.10768,0.60251,1.01767,0.000361803,0.000361803,0.000361803
10,766.836,1.15472,0.72075,1.17525,0.89945,0.89662,0.94402,0.64965,1.10859,0.61388,1.01565,0.000331287,0.000331287,0.000331287
11,818.873,1.14291,0.71429,1.17662,0.90722,0.93409,0.95512,0.65693,1.108,0.60675,1.01456,0.0003,0.0003,0.0003
12,875.828,1.14729,0.72196,1.17367,0.9039,0.92624,0.94687,0.64459,1.12332,0.61351,1.0202,0.000268713,0.000268713,0.000268713
13,932.224,1.13897,0.7051,1.17935,0.92247,0.90219,0.94723,0.64155,1.12937,0.62683,1.02424,0.000238197,0.000238197,0.000238197
14,980.437,1.18188,0.71679,1.17611,0.89962,0.93214,0.95376,0.65181,1.1095,0.60605,1.01441,0.000209202,0.000209202,0.000209202
15,1027.9,1.14235,0.70352,1.16704,0.89915,0.90342,0.93939,0.65017,1.11324,0.60672,1.01628,0.000182443,0.000182443,0.000182443
16,1076.07,1.16209,0.64643,1.07107,0.90058,0.91412,0.94937,0.64838,1.12592,0.61454,1.02281,0.000158579,0.000158579,0.000158579
17,1132.87,1.20515,0.65307,1.08475,0.89543,0.91424,0.94953,0.65367,1.11111,0.60755,1.01368,0.000138197,0.000138197,0.000138197
18,1187.94,1.17609,0.64161,1.06962,0.8795,0.93854,0.94984,0.65134,1.12808,0.60974,1.02304,0.000121799,0.000121799,0.000121799
19,1236.02,1.2223,0.66366,1.08326,0.90131,0.90754,0.94604,0.64828,1.127,0.6283,1.02526,0.000109789,0.000109789,0.000109789
