epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6577,1.06989,0.75303,1.24432,0.93853,0.94237,0.96386,0.65562,1.13874,0.64058,1.03106,0.00516436,0.00499135,0.00499135
2,59.2748,1.08181,0.77083,1.2485,0.92929,0.93211,0.95363,0.65412,1.14261,0.62847,1.02703,0.00498767,0.00498767,0.00498767
3,79.9044,1.05206,0.73904,1.2275,0.92347,0.94567,0.95309,0.64319,1.13746,0.64116,1.02249,0.00495083,0.00495083,0.00495083
4,100.758,1.04828,0.74909,1.24726,0.92496,0.933,0.95402,0.65272,1.13554,0.62524,1.0189,0.00488988,0.00488988,0.00488988
5,121.658,1.06612,0.7402,1.23303,0.9332,0.93322,0.95192,0.65698,1.10875,0.61914,1.00734,0.00480548,0.00480548,0.00480548
6,143.517,1.06743,0.74675,1.23083,0.93363,0.92416,0.9553,0.64953,1.15985,0.60772,1.03441,0.00469856,0.00469856,0.00469856
7,165.75,1.05818,0.75045,1.23336,0.93435,0.92338,0.95701,0.65361,1.13502,0.60868,1.01197,0.00457029,0.00457029,0.00457029
8,188.208,1.0752,0.75769,1.23336,0.93157,0.939,0.9532,0.65031,1.12957,0.61169,1.01979,0.00442208,0.00442208,0.00442208
9,210.704,1.05497,0.74311,1.22948,0.94315,0.9417,0.95569,0.65433,1.12494,0.61444,1.01636,0.00425554,0.00425554,0.00425554
10,233.017,1.06203,0.73841,1.228,0.94517,0.94424,0.95884,0.6493,1.13281,0.62304,1.01699,0.00407252,0.00407252,0.00407252
11,255.471,1.07658,0.74755,1.24954,0.94235,0.93947,0.96435,0.65153,1.16069,0.60968,1.03098,0.003875,0.003875,0.003875
12,278.142,1.08199,0.75284,1.24889,0.93627,0.94279,0.95668,0.66564,1.09756,0.60916,1.01017,0.00366516,0.00366516,0.00366516
13,300.811,1.05621,0.73582,1.23259,0.94354,0.95087,0.9619,0.65969,1.12775,0.60738,1.02301,0.00344529,0.00344529,0.00344529
14,323.704,1.08418,0.73636,1.25603,0.9308,0.94354,0.95948,0.65377,1.14158,0.61279,1.02643,0.0032178,0.0032178,0.0032178
15,346.555,1.05701,0.71921,1.24034,0.93081,0.94279,0.96328,0.65485,1.12195,0.60649,1.01902,0.00298519,0.00298519,0.00298519
16,369.444,1.07445,0.74246,1.24575,0.92807,0.93386,0.9557,0.66115,1.10677,0.59788,1.01242,0.00275,0.00275,0.00275
17,392.279,1.05194,0.71518,1.23392,0.92393,0.93762,0.95349,0.66276,1.12639,0.60717,1.01916,0.00251481,0.00251481,0.00251481
18,415.151,1.06578,0.73076,1.23895,0.94176,0.9382,0.96458,0.66741,1.11228,0.59317,1.00542,0.0022822,0.0022822,0.0022822
19,437.957,1.08198,0.74352,1.24285,0.9406,0.9516,0.9608,0.66216,1.10902,0.60436,1.00783,0.00205471,0.00205471,0.00205471
20,460.891,1.04775,0.70843,1.21876,0.94847,0.93139,0.96226,0.6612,1.11073,0.60791,1.01197,0.00183484,0.00183484,0.00183484
21,483.593,1.07335,0.73148,1.23999,0.94446,0.94419,0.96143,0.66159,1.11402,0.60543,1.00897,0.001625,0.001625,0.001625
22,506.511,1.07613,0.73855,1.24739,0.93504,0.94394,0.96079,0.66869,1.09905,0.59519,1.00363,0.00142748,0.00142748,0.00142748
23,529.429,1.064,0.73677,1.2459,0.92882,0.93398,0.95901,0.66725,1.10389,0.60179,1.00588,0.00124446,0.00124446,0.00124446
24,552.16,1.06097,0.73873,1.25263,0.94323,0.94713,0.96178,0.65712,1.12361,0.60385,1.0148,0.00107792,0.00107792,0.00107792
25,574.902,1.07569,0.74152,1.24665,0.93805,0.94186,0.95719,0.66544,1.09391,0.60072,1.00028,0.000929712,0.000929712,0.000929712
26,598.364,1.0988,0.63671,1.06861,0.95072,0.93432,0.96069,0.65868,1.14384,0.61104,1.02819,0.000801443,0.000801443,0.000801443
27,621.314,1.07696,0.61974,1.05924,0.95083,0.93696,0.95989,0.66345,1.11075,0.59813,1.00774,0.000694523,0.000694523,0.000694523
28,644.04,1.09306,0.622,1.05011,0.94592,0.93844,0.95986,0.66262,1.11688,0.5988,1.01016,0.000610123,0.000610123,0.000610123
29,666.945,1.08636,0.61619,1.06495,0.94604,0.93173,0.96093,0.65954,1.11271,0.59928,1.01028,0.000549168,0.000549168,0.000549168
30,689.6,1.08527,0.61558,1.06319,0.93821,0.93915,0.96052,0.66459,1.10505,0.594,1.00374,0.000512326,0.000512326,0.000512326
