epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.869,1.4851,0.9693,1.36984,0.88837,0.87488,0.90168,0.53149,1.66996,0.84279,1.22241,0.0505429,0.000499567,0.000499567
2,139.696,1.36589,0.88628,1.29532,0.90707,0.89006,0.91878,0.58477,1.46259,0.74694,1.05422,0.00103732,0.000994029,0.000994029
3,200.867,1.34158,0.85173,1.29179,0.90929,0.91154,0.93285,0.58786,1.46391,0.71566,1.03895,0.000977975,0.000977975,0.000977975
4,261.784,1.35281,0.82932,1.26587,0.92978,0.91302,0.93164,0.58889,1.46852,0.69759,1.03989,0.000950953,0.000950953,0.000950953
5,324.356,1.32048,0.83119,1.27067,0.88864,0.90978,0.93669,0.59016,1.47017,0.71762,1.04329,0.000914058,0.000914058,0.000914058
6,386.645,1.29331,0.8141,1.26017,0.89288,0.90963,0.92605,0.57754,1.49205,0.71137,1.05919,0.000868198,0.000868198,0.000868198
7,448.879,1.3225,0.82512,1.27207,0.91161,0.90273,0.93619,0.5947,1.47421,0.69579,1.04309,0.000814503,0.000814503,0.000814503
8,512.186,1.326,0.79955,1.26899,0.92438,0.90273,0.93598,0.58962,1.47844,0.69345,1.0404,0.000754296,0.000754296,0.000754296
9,573.866,1.2991,0.79135,1.2449,0.92253,0.91165,0.93703,0.58614,1.48863,0.70555,1.04399,0.000689058,0.000689058,0.000689058
10,634.135,1.27128,0.79897,1.24861,0.90524,0.90719,0.93464,0.5842,1.4848,0.73183,1.05139,0.000620396,0.000620396,0.000620396
11,694.303,1.2906,0.81009,1.2693,0.9224,0.89979,0.93717,0.58179,1.48771,0.69244,1.05842,0.00055,0.00055,0.00055
12,754.312,1.2957,0.78055,1.22378,0.91517,0.91504,0.93873,0.58738,1.47901,0.69353,1.02993,0.000479604,0.000479604,0.000479604
13,822.823,1.30244,0.76084,1.22163,0.91393,0.92951,0.93239,0.58681,1.4822,0.68259,1.04381,0.000410942,0.000410942,0.000410942
14,892.568,1.29999,0.76467,1.25522,0.90388,0.91516,0.93958,0.59056,1.49708,0.68604,1.03605,0.000345704,0.000345704,0.000345704
15,962.921,1.28689,0.76577,1.24728,0.9331,0.92056,0.94373,0.59138,1.48213,0.67107,1.03343,0.000285497,0.000285497,0.000285497
16,1024.9,1.40563,0.68838,1.08011,0.92495,0.90388,0.93308,0.58553,1.52802,0.69079,1.06073,0.000231802,0.000231802,0.000231802
17,1088.11,1.41441,0.6892,1.09506,0.92779,0.90898,0.93784,0.59158,1.48852,0.68279,1.03692,0.000185942,0.000185942,0.000185942
