epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.3594,1.10827,0.71324,1.15155,0.66795,0.92851,0.92285,0.96032,0.65544,1.13669,0.60189,1.01233,0.00100346,0.000999134,0.000999134
2,174.853,1.11959,0.70932,1.13893,0.60799,0.92202,0.92516,0.95675,0.64582,1.15683,0.60719,1.02109,0.00099446,0.00099446,0.00099446
3,251.581,1.1146,0.69854,1.15136,0.55436,0.92092,0.9207,0.95397,0.64281,1.1541,0.61889,1.0152,0.000977975,0.000977975,0.000977975
4,325.013,1.09238,0.68615,1.15441,0.5151,0.92125,0.91859,0.955,0.64311,1.16617,0.61141,1.02011,0.000950953,0.000950953,0.000950953
5,398.684,1.12606,0.6958,1.14255,0.48591,0.91433,0.93186,0.95296,0.65139,1.1534,0.60233,1.01429,0.000914058,0.000914058,0.000914058
6,472.232,1.10745,0.68894,1.14245,0.4693,0.93754,0.91859,0.95341,0.64877,1.13751,0.60958,1.00307,0.000868198,0.000868198,0.000868198
7,546.259,1.10092,0.67965,1.11766,0.45709,0.92782,0.91986,0.95843,0.6534,1.1461,0.59089,1.00907,0.000814503,0.000814503,0.000814503
8,620.209,1.12326,0.69865,1.15414,0.44983,0.92673,0.91668,0.95377,0.64839,1.13091,0.59744,1.00264,0.000754296,0.000754296,0.000754296
9,694.486,1.1048,0.68422,1.14333,0.44521,0.92464,0.92963,0.95693,0.65468,1.13453,0.58561,1.00476,0.000689058,0.000689058,0.000689058
10,768.722,1.07558,0.67338,1.12848,0.44185,0.9418,0.91027,0.95564,0.64509,1.14595,0.59854,1.01008,0.000620396,0.000620396,0.000620396
11,843.203,1.09157,0.68364,1.13167,0.43738,0.92452,0.9196,0.95319,0.65416,1.12592,0.58846,1.00085,0.00055,0.00055,0.00055
