epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5507,1.04952,0.667,1.13265,0.92181,0.93418,0.94914,0.65119,1.11832,0.61598,1.01329,0.00516436,0.00499135,0.00499135
2,63.6756,1.06953,0.67114,1.13299,0.91729,0.94095,0.96215,0.65258,1.11432,0.59781,1.00784,0.00498226,0.00498226,0.00498226
3,85.8671,1.04537,0.65386,1.14209,0.92309,0.94305,0.95596,0.64037,1.14825,0.61619,1.02642,0.00492931,0.00492931,0.00492931
4,108.086,1.03799,0.65509,1.12828,0.93529,0.93764,0.9606,0.6537,1.12909,0.59989,1.01693,0.004842,0.004842,0.004842
5,130.355,1.06511,0.64485,1.12819,0.93596,0.92748,0.95723,0.65513,1.13574,0.60012,1.01389,0.00472169,0.00472169,0.00472169
6,153.256,1.04279,0.6335,1.13252,0.93809,0.92295,0.95336,0.65237,1.10966,0.59298,1.0098,0.00457029,0.00457029,0.00457029
7,175.872,1.03184,0.63247,1.11118,0.94103,0.91711,0.95676,0.66116,1.10497,0.57744,1.00793,0.00439018,0.00439018,0.00439018
8,198.721,1.06524,0.6416,1.1379,0.93236,0.93458,0.95842,0.66583,1.1095,0.57529,1.00604,0.0041842,0.0041842,0.0041842
9,221.747,1.05781,0.64963,1.13773,0.93336,0.9347,0.95705,0.65707,1.11004,0.59057,1.00899,0.00395561,0.00395561,0.00395561
10,244.684,1.04007,0.65172,1.13459,0.9289,0.92817,0.94525,0.6511,1.12385,0.58808,1.00743,0.003708,0.003708,0.003708
11,267.723,1.05154,0.64888,1.13151,0.93136,0.93146,0.951,0.65072,1.11038,0.58585,1.00148,0.00344529,0.00344529,0.00344529
12,291.003,1.04683,0.64276,1.11575,0.93816,0.93406,0.95799,0.65695,1.12946,0.59417,1.01083,0.00317161,0.00317161,0.00317161
13,314.313,1.03464,0.63416,1.13187,0.93809,0.93016,0.95665,0.66111,1.1085,0.58913,1.00295,0.00289128,0.00289128,0.00289128
14,338.034,1.04178,0.63661,1.13501,0.94318,0.93382,0.95879,0.65547,1.14021,0.58501,1.01966,0.00260872,0.00260872,0.00260872
15,361.482,1.04078,0.63398,1.12017,0.93352,0.93844,0.95891,0.6607,1.09966,0.57199,0.99464,0.00232839,0.00232839,0.00232839
16,384.924,1.03228,0.61501,1.11691,0.93698,0.92071,0.95315,0.65355,1.12352,0.5783,1.0106,0.00205471,0.00205471,0.00205471
17,408.825,1.03789,0.63347,1.13408,0.94477,0.93266,0.95912,0.65683,1.113,0.57778,1.00538,0.001792,0.001792,0.001792
18,433.558,1.04217,0.62868,1.13059,0.92953,0.93871,0.95692,0.66375,1.10103,0.57632,0.99535,0.00154439,0.00154439,0.00154439
19,459.89,1.0349,0.62398,1.12577,0.93429,0.93532,0.95891,0.66542,1.09655,0.57503,0.99134,0.0013158,0.0013158,0.0013158
20,483.362,1.03806,0.62742,1.12047,0.93086,0.93997,0.95834,0.65925,1.10656,0.57931,1.00172,0.00110982,0.00110982,0.00110982
