epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4967,0.9633,0.70016,1.17645,0.92387,0.899,0.93742,0.68185,0.91632,0.58522,1.08188,0.00508414,4.96552e-05,4.96552e-05
2,38.4547,0.96958,0.68041,1.17336,0.93234,0.90229,0.94342,0.68152,0.91603,0.58521,1.07891,0.000132344,9.78614e-05,9.78614e-05
3,49.2492,0.94711,0.67463,1.16329,0.92524,0.90224,0.94072,0.68263,0.91615,0.58155,1.0776,9.64e-05,9.64e-05,9.64e-05
4,60.1122,0.94655,0.67238,1.16815,0.92765,0.90256,0.94137,0.67776,0.91657,0.58376,1.07731,9.46e-05,9.46e-05,9.46e-05
5,70.9904,0.95923,0.67157,1.15761,0.92563,0.9032,0.93885,0.67827,0.91813,0.58449,1.07619,9.28e-05,9.28e-05,9.28e-05
6,81.9444,0.94963,0.67267,1.16589,0.92809,0.90977,0.94196,0.67478,0.92519,0.58466,1.07941,9.1e-05,9.1e-05,9.1e-05
7,93.0036,0.9364,0.65728,1.14663,0.928,0.90977,0.94055,0.67417,0.91861,0.57897,1.07703,8.92e-05,8.92e-05,8.92e-05
8,104.094,0.95756,0.68464,1.16968,0.9218,0.90464,0.94019,0.68007,0.91106,0.57477,1.0753,8.74e-05,8.74e-05,8.74e-05
9,115.285,0.95174,0.6733,1.15473,0.93526,0.90917,0.94164,0.6774,0.91943,0.57582,1.07779,8.56e-05,8.56e-05,8.56e-05
10,126.424,0.94828,0.6607,1.16374,0.93537,0.90957,0.94148,0.67833,0.91589,0.5778,1.07644,8.38e-05,8.38e-05,8.38e-05
11,137.832,0.94819,0.66949,1.16631,0.92638,0.91047,0.94112,0.68041,0.91999,0.57454,1.07762,8.2e-05,8.2e-05,8.2e-05
12,149.162,0.94223,0.66972,1.16114,0.92919,0.9094,0.94041,0.67453,0.9229,0.57999,1.07814,8.02e-05,8.02e-05,8.02e-05
13,160.551,0.92696,0.6535,1.16425,0.92901,0.90977,0.94075,0.6766,0.91612,0.57783,1.07603,7.84e-05,7.84e-05,7.84e-05
14,171.854,0.95101,0.68035,1.17309,0.92846,0.90977,0.94133,0.67529,0.91911,0.57923,1.07784,7.66e-05,7.66e-05,7.66e-05
15,183.257,0.94375,0.66134,1.15296,0.9292,0.9065,0.94092,0.67439,0.91909,0.58091,1.07712,7.48e-05,7.48e-05,7.48e-05
16,194.722,0.94233,0.6545,1.14273,0.92907,0.90741,0.94059,0.67679,0.91633,0.58084,1.07552,7.3e-05,7.3e-05,7.3e-05
17,206.446,0.94245,0.67779,1.16159,0.92887,0.90945,0.94091,0.67489,0.92026,0.57985,1.07732,7.12e-05,7.12e-05,7.12e-05
18,217.916,0.93841,0.66192,1.15879,0.92904,0.90977,0.94086,0.67302,0.92649,0.57918,1.07944,6.94e-05,6.94e-05,6.94e-05
19,229.555,0.94339,0.66056,1.15524,0.92801,0.90977,0.94087,0.67293,0.92398,0.57367,1.07899,6.76e-05,6.76e-05,6.76e-05
20,241.048,0.94461,0.65695,1.15411,0.92403,0.90977,0.94093,0.67542,0.93221,0.57977,1.08203,6.58e-05,6.58e-05,6.58e-05
21,252.478,0.95863,0.67338,1.16974,0.92441,0.90977,0.94197,0.67595,0.92261,0.57358,1.07823,6.4e-05,6.4e-05,6.4e-05
22,264.076,0.94769,0.66229,1.16247,0.92945,0.90837,0.94146,0.67516,0.91902,0.57263,1.07682,6.22e-05,6.22e-05,6.22e-05
23,275.802,0.9369,0.66379,1.16086,0.92808,0.90977,0.94179,0.67388,0.92067,0.57487,1.07703,6.04e-05,6.04e-05,6.04e-05
