epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7851,1.55153,3.2771,1.32894,0.91524,0.91859,0.93813,0.67728,1.23952,2.33253,1.08498,0.00678897,9.93103e-05,9.93103e-05
2,41.3804,1.56905,3.28407,1.31536,0.91773,0.91859,0.93792,0.67873,1.2461,2.34985,1.08427,0.00355327,0.000196944,0.000196944
3,52.9126,1.56385,3.26195,1.31765,0.90872,0.92082,0.9365,0.6731,1.26701,2.34212,1.08966,0.00031519,0.000292202,0.000292202
4,64.4849,1.56105,3.28995,1.31763,0.91205,0.92082,0.93717,0.66828,1.26757,2.34224,1.0895,0.000289312,0.000289312,0.000289312
5,75.848,1.54145,3.27622,1.30016,0.91183,0.90261,0.93638,0.671,1.25183,2.34354,1.08359,0.00028575,0.00028575,0.00028575
6,87.2315,1.53184,3.27474,1.30368,0.90648,0.90543,0.93746,0.66367,1.27483,2.32712,1.08827,0.000282187,0.000282187,0.000282187
7,99.0565,1.56874,3.30975,1.30921,0.90847,0.90173,0.93678,0.6676,1.26716,2.32565,1.08509,0.000278625,0.000278625,0.000278625
8,110.279,1.53698,3.2382,1.30873,0.90759,0.91424,0.9351,0.6632,1.26834,2.33812,1.08531,0.000275062,0.000275062,0.000275062
9,121.944,1.49712,3.10977,1.28501,0.91028,0.90351,0.93681,0.67,1.26011,2.31085,1.08246,0.0002715,0.0002715,0.0002715
10,133.658,1.55,3.25511,1.31571,0.91363,0.90572,0.93743,0.66908,1.26606,2.29932,1.08315,0.000267937,0.000267937,0.000267937
11,145.502,1.53789,3.15583,1.30048,0.90386,0.90828,0.93699,0.66578,1.27123,2.29133,1.08527,0.000264375,0.000264375,0.000264375
12,157.31,1.52558,3.17269,1.3022,0.9204,0.89582,0.93774,0.67193,1.26732,2.30736,1.08356,0.000260812,0.000260812,0.000260812
13,169.139,1.52305,3.20329,1.29401,0.91639,0.90516,0.93661,0.66516,1.26445,2.29778,1.08453,0.00025725,0.00025725,0.00025725
14,181.144,1.49691,3.15146,1.29042,0.91002,0.90088,0.93595,0.66737,1.27138,2.31956,1.08685,0.000253688,0.000253688,0.000253688
15,193.14,1.53755,3.18982,1.301,0.91669,0.90307,0.93598,0.66805,1.27923,2.31194,1.08868,0.000250125,0.000250125,0.000250125
16,205.353,1.50301,3.10477,1.2975,0.91627,0.91194,0.93642,0.67203,1.26022,2.3013,1.08187,0.000246562,0.000246562,0.000246562
17,217.621,1.51453,3.11826,1.29817,0.91688,0.91315,0.93597,0.66801,1.27295,2.3001,1.08284,0.000243,0.000243,0.000243
18,229.705,1.50948,3.10876,1.29072,0.91734,0.9014,0.93733,0.66935,1.265,2.27553,1.07968,0.000239437,0.000239437,0.000239437
19,241.988,1.51694,3.15193,1.29663,0.90154,0.91023,0.9362,0.66509,1.26739,2.28958,1.08249,0.000235875,0.000235875,0.000235875
20,254.222,1.54702,3.23695,1.31751,0.90259,0.91119,0.93602,0.6697,1.26861,2.28439,1.08338,0.000232312,0.000232312,0.000232312
21,266.485,1.51485,3.20574,1.29088,0.90265,0.90937,0.93624,0.668,1.27386,2.29224,1.08602,0.00022875,0.00022875,0.00022875
22,278.687,1.53743,3.1795,1.30233,0.92036,0.89953,0.93752,0.66794,1.26652,2.27154,1.08284,0.000225188,0.000225188,0.000225188
23,290.815,1.52286,3.13931,1.3101,0.91039,0.90745,0.93691,0.66864,1.27025,2.29265,1.08435,0.000221625,0.000221625,0.000221625
24,303.197,1.53323,3.22134,1.29946,0.9101,0.90185,0.93589,0.67081,1.25681,2.29988,1.07956,0.000218062,0.000218062,0.000218062
25,315.64,1.5045,3.12326,1.2879,0.90271,0.90766,0.93718,0.66899,1.26356,2.28212,1.0825,0.0002145,0.0002145,0.0002145
26,327.737,1.48771,3.05767,1.28686,0.91394,0.89998,0.93691,0.67272,1.26449,2.28988,1.0826,0.000210937,0.000210937,0.000210937
27,339.844,1.5233,3.2112,1.29539,0.90483,0.91248,0.93765,0.6709,1.26271,2.28772,1.08287,0.000207375,0.000207375,0.000207375
28,352.104,1.51285,3.18735,1.29409,0.90401,0.90543,0.93865,0.67084,1.26581,2.27255,1.08356,0.000203812,0.000203812,0.000203812
29,364.348,1.49534,3.16594,1.29867,0.90313,0.90543,0.93876,0.66766,1.27277,2.29549,1.08698,0.00020025,0.00020025,0.00020025
30,376.475,1.51687,3.16988,1.30018,0.90878,0.9132,0.94,0.66908,1.26258,2.27041,1.08226,0.000196687,0.000196687,0.000196687
31,388.733,1.48956,3.08545,1.28584,0.90275,0.9101,0.93848,0.66988,1.26125,2.2772,1.08219,0.000193125,0.000193125,0.000193125
32,400.796,1.5009,3.13642,1.28847,0.90201,0.90877,0.9385,0.6712,1.26695,2.2778,1.08424,0.000189563,0.000189563,0.000189563
